,Tennessee/b,,"56,179","32,242","20,557","2,704",61,595,0,0,20
,Texas/b,,"434,309","190,668","84,605","154,545",**,**,**,**,"4,491"
,Virginia/b,,"51,954","25,176","25,491",0,27,5,0,0,"1,255"
,West Virginia ,,"7,890",**,**,**,**,**,**,**,"7,890"
West,,,"805,084","196,360","24,915","58,658","10,839","7,374","6,316",146,"500,476"
,Alaska/d,,"6,416","3,775",583,194,"1,500",267,**,0,97
,Arizona,,"76,830","35,418","6,270","27,597","3,759",331,**,**,"3,455"
,California ,,"353,969",**,**,**,**,**,**,**,"353,969"
,Colorado/b,,"77,635","50,652","7,006","10,478",692,727,**,**,"8,080"
,Hawaii/b,,"19,426","4,711",745,**,**,"3,912","6,127",**,"3,931"
,Idaho ,,"48,663","10,409",206,"1,938",311,80,**,**,"35,719"
,Montana,,"9,106","6,936",100,245,"1,088",21,**,31,685
,Nevada ,,"13,461",**,**,**,**,**,**,**,"13,461"
,New Mexico/b,,"20,774","4,534",773,"7,939","1,069",37,21,**,"6,401"
,Oregon,,"43,732","34,952","2,467","5,025",593,475,**,**,220
,Utah ,,"10,829","8,062",474,"1,002",298,83,149,0,761
,Washington/b,,"118,885","32,531","6,163","3,746","1,279","1,427",12,115,"73,612"
,Wyoming,,"5,358","4,380",128,494,250,14,7,0,85
**Not known.,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,
"a/Includes an estimated 26,000 probationers under the supervision of Oklahoma's state agency on December 31, 2007, and 2,150 probationers under the supervision of two localities in Oklahoma on December 31, 2007. Race/ethnic origin was unknown or not reported for all 2,150 probationers under the supervision of the localities. ",,,,,,,,,,,
b/Some or all detailed data are estimated for race.,,,,,,,,,,,
"c/Classifies Hispanic as a race rather than an ethnicity; therefore, it cannot be determined whether probationers who are Hispanic are also of another race. Additionally, those probationers who are of another race may also be Hispanic. ",,,,,,,,,,,
d/“Asian” includes an unspecified number of probationers who are “Native Hawaiian/Other Pacific Islander” because “Native Hawaiian/Other Pacific Islander” could not be reported separately. ,,,,,,,,,,,
"e/Does not collect ethnicity data; therefore, the number of Hispanic probatioenrs cannot be determined. Additionally, whether or not other racial categories include Hispanic probationers cannot be determined. ",,,,,,,,,,,
"f/Classifies Hispanic as an ethnicity, not a race. There were 5,476 Hispanic probationers under supervision on December 31, 2007, but they are reported among all of the other racial categories.",,,,,,,,,,,
"g/The state agency did not provide data. An estimated 26,000 probationers were under the supervision of Oklahoma's state agencey on December 31, 2007. Two localities in Oklahoma reported 2,150 probationers under their supervision on December 31, 2007 and race/ethnic origin was unknown or not reported for all 2,150 probationers.",,,,,,,,,,,
