,South Dakota/d,,"5,661","3,698","3,698","3,489","3,489","5,870",3.7,,972
,Wisconsin,,"55,018","25,106","25,106","26,894","26,894","53,230",-3.2,,"1,237"
South/b,,,"1,719,489","960,812","987,100","936,524","958,300","1,750,300",1.8,%,"2,091"
,Alabama/f,,"46,367","20,101","20,101","14,723","14,723","51,745",11.6,,"1,468"
,Arkansas,,"31,166","9,368","9,368","8,858","8,858","31,676",1.6,,"1,476"
,Delaware,,"16,958","15,334","15,334","15,596","15,596","16,696",-1.5,,"2,513"
,District of Columbia,,"6,670","5,004","5,004","5,189","5,189","6,485",-2.8,,"1,362"
,"Florida/c,d,e",,"272,242","236,182","243,000","233,891","239,700","274,079",0.7,,"1,917"
,"Georgia/c,g",,"432,436","281,252","281,252","278,327","278,327","435,361",0.7,,"6,144"
,"Kentucky/c,d,e",,"36,396","12,210","20,600","9,596","14,500","42,510",16.8,,"1,306"
,Louisiana,,"38,145","14,887","14,887","14,026","14,026","39,006",2.3,,"1,208"
,"Maryland/c,f",,"94,100","36,786","36,786","32,416","32,416","98,470",4.6,,"2,301"
,Mississippi/d,,"24,107","9,773","9,773","12,257","12,257","21,623",-10.3,,"1,001"
,North Carolina/c,,"110,419","66,432","66,432","65,405","65,405","111,446",0.9,,"1,612"
,"Oklahoma/c,h",,**,**,"13,800",**,"13,000",**,: ,,:
,South Carolina,,"43,284","13,968","13,968","14,531","14,531","42,721",-1.3,,"1,264"
,Tennessee/d,,"52,057","23,686","23,686","23,024","23,024","56,179",7.9,,"1,190"
,Texas,,"431,967","182,948","182,948","180,606","180,606","434,309",0.5,,"2,485"
,Virginia/c,,"48,144","28,439","28,439","24,629","24,629","51,954",7.9,,877
,West Virginia/e,,"7,668","1,657","1,700","1,452","1,500","7,890",2.9,,553
West ,,,"772,076","426,518","442,500","399,434","409,500","805,084",4.3,%,"1,528"
,Alaska/d,,"6,111","1,215","1,215",910,910,"6,416",5,,"1,269"
,Arizona/c,,"73,265","29,352","29,352","25,787","25,787","76,830",4.9,,"1,627"
,California/c,,"346,495","195,554","195,554","188,080","188,080","353,969",2.2,,"1,295"
,"Colorado/c,d,e",,"63,032","47,993","48,500","33,351","33,900","77,635",23.2,,"2,094"
,Hawaii/c,,"18,598","6,522","6,522","5,694","5,694","19,426",4.5,,"1,934"
,"Idaho/c,e,i",,"48,609","39,657","39,657","39,603","39,603","48,663",0.1,,"4,405"
,"Montana/c,d",,"8,763","4,125","4,125","3,782","3,782","9,106",3.9,,"1,223"
,Nevada,,"13,208","7,549","7,549","7,296","7,296","13,461",1.9,,697
,"New Mexico/c,e",,"17,878","3,484","7,600","3,042","4,700","20,774",16.2,,"1,400"
,Oregon,,"43,988","16,968","16,968","17,224","17,224","43,732",-0.6,,"1,504"
,Utah,,"10,417","5,542","5,542","5,130","5,130","10,829",4,,584
,"Washington/c,d,e,f",,"116,487","66,041","77,400","67,152","75,000","118,885",2.1,,"2,390"
,Wyoming,,"5,225","2,516","2,516","2,383","2,383","5,358",2.5,,"1,334"
"Note: Because of nonresponse or incomplete data, the probation population for some jurisdictions on December 31, 2007, does not equal the population on January 1, plus entries, minus exits. Rates were computed using the estimated adult resident population in each state on January 1, 2008.",,,,,,,,,,,
**Not known.,,,,,,,,,,,
:Not calculated.,,,,,,,,,,,
a/Reflects reported data except for jurisdictions in which data were not available. See Methodology. Details may not sum to totals because of rounding.,,,,,,,,,,,
"b/Includes an estimated 26,000 probationers under supervision in Oklahoma on January 1 and December 31, 2007. See Methodology.",,,,,,,,,,,
c/Some or all detailed data are estimated.,,,,,,,,,,,
"d/Excludes probationers in one of the following categories: absconder, warrant, supervised out of state, electronic monitoring, or intensive supervision.",,,,,,,,,,,
e/Data for entries and exits were estimated for non-reporting agencies. See Methodology. ,,,,,,,,,,,
"f/Due to a change in recordkeeping procedures, data are not comparable to previous reports.",,,,,,,,,,,
g/Counts include private agency cases and may overstate the number of persons under supervision.,,,,,,,,,,,
"h/The state agency did not provide data. See Methodology. Two localities reported 1,363 probationers under supervision on January 1 and 2,150 probationers under supervision on December 31, 2007. See Methodology for details on entries and exits.",,,,,,,,,,,
i/Counts include estimates for misdemeanors based on entries.,,,,,,,,,,,
