,Oklahoma/d,,**,**,**,**,**,**,**,**,**
,South Carolina ,,"42,721","1,274","4,705","9,167","8,068","1,377","1,820","16,310",0
,Tennessee,,"56,179","2,714","5,329","9,506","11,658","3,516",147,"21,937","1,372"
,Texas/b,,"434,309",**,"74,165","97,479","110,557","90,597",**,"61,511",0
,Virginia/b,,"51,954",0,"6,450","19,876","16,240","1,518","1,064","6,203",603
,West Virginia ,,"7,890",**,**,**,**,**,**,**,"7,890"
West,,,"805,084","9,031","37,237","47,029","60,316","38,900","3,605","16,657","592,309"
,Alaska ,,"6,416",**,**,**,**,**,**,**,"6,416"
,Arizona,,"76,830","1,045","13,649","20,488","23,497","6,837",794,149,"10,371"
,California ,,"353,969",**,**,**,**,**,**,**,"353,969"
,Colorado/b,,"77,635","1,406",15,382,15,"9,000",953,722,"65,142"
,Hawaii ,,"19,426",**,**,**,**,**,**,**,"19,426"
,Idaho,,"48,663",268,"2,611","4,299","4,957","1,117",78,23,"35,310"
,Montana,,"9,106",298,"1,516","2,431","2,485",760,18,926,672
,Nevada ,,"13,461",**,**,**,**,**,**,**,"13,461"
,New Mexico/b,,"20,774",**,**,**,**,**,**,**,"20,774"
,Oregon ,,"43,732",955,"8,140","8,687","12,688","4,233",**,"9,029",0
,Utah ,,"10,829",283,"1,694","3,834","3,711",769,343,140,55
,Washington/b,,"118,885","4,473","8,955","5,483","11,301","15,309","1,365","5,286","66,713"
,Wyoming ,,"5,358",303,657,"1,425","1,662",875,54,382,0
**Not known.,,,,,,,,,,,
"a/Includes an estimated 26,000 probationers under the supervision of Oklahoma's state agency on December 31, 2007, and 2,150 probationers under the supervision of two localities in Oklahoma on December 31, 2007. Of those 2,150 probationers, 25 were on probation for other violent offenses, 71 for a property offense, 120 for a drug law violation, 589 for a driving while intoxicated or under the influence offense, and offense was unknown or not reported for the remaining 1,345 probationers.",,,,,,,,,,,
b/Some or all detailed data are estimated for specific offenses.,,,,,,,,,,,
c/Detailed data represent state probationers only. Detailed data are not available for county probationers.,,,,,,,,,,,
"d/The state agency did not provide data. An estimated 26,000 probationers were under the supervision of Oklahoma's state agencey on December 31, 2007. Two localities in Oklahoma reported 2,150 probationers under their supervision on December 31, 2007 and 25 were on probation for other violent offenses, 71 for a property offense, 120 for a drug law violation, and 589 for a driving while intoxicated or under the influence offense. Most serious offense was unknown or not reported for the remaining 1,345 probationers.",,,,,,,,,,,
